Level,Handstands,Rings HS,Handstand Pushups,Rings HSPU,Press,Press Handstands,Rings Press HS,Straight Arm Press HS,Manna,Back Lever,Front Lever,FL Rows,Rows,Pull-ups,R Pull-ups + OAC,Weighted Pull-ups,Explosive Pull-ups,Iron Cross,Planche (PB/FL),Rings Planche,PB/FL PL Pushups,Rings PL Pushups,Pushups,One Arm Pushups,Dips,Ring Dips,Weighted Dips,Muscle-ups / Inverted MUs,Elbow Levers,Flag,Ab Wheel,Rings Full Statics,Rings Kip Skills,Rings Felge Skills,Squats
1,Wall HS,,Pike HeSPU,,,,,,Tuck L-sit,German Hang,,,Row Ecc,Jump Pull-ups,,,,Rec PRE-REQs in Gray,,,,,Regular Pushups,,PB Jump Dips,Support Hold,,,,,,,,,Parallel Squat
2,Wall HS,,Box HeSPU,,.3x BW,,,,1 Leg Bent L-sit,Skin the Cat,,,Ring Rows,Bar Pull-up Ecc,,Assisted Pull-ups,Kip Pull-ups,,,,,,Diamond Pushups,,PB Dips Ecc,RTO Support,Assisted Dips,,,,25s Plank,,,,Full Squat
3,Wall HS,,Wall HeSPU Ecc,,.43x BW,,,,L-sit,Tuck BL,,,Wide Rows,Bar Pull-ups,,1x Bodyweight,Bar Pull-ups,,Frog Stand,,,,Ring wide PU,,PB Dips,R Dips Ecc,Dips,MU Negatives,,,60s Plank,,,,Side to Side Squat
4,Free HS,,Wall HeSPU,,.55x BW,,,,Straddle L-sit,Adv Tuck BL,Tuck FL,,Archer Rows,L-Pull-ups,R L-Pull-ups,1.18x Bodyweight,Kip Clap Pull-ups,,SA Frog Stand,Frog Stand,,,Ring PU,,L-Dips,R Dips,1.2x BW,Kipping MU,,,1 Arm 1 Leg Plank,,,,Pistol
5,Free HS,R Shld Std,Wall HSPU,,.68x BW,BA BB Press,,Wall Str Press Ecc,RTO L-sit,Straddle BL,Adv Tuck FL,Tuck FL,Archer-in-Rows,Pullover,R Wide Pull-ups,1.35x Bodyweight,Non-Kip Clapping,,Tuck PL,SA Frog Stand,,,RTO Pushups,Elevated OA PU,45 Deg Dips,R L-Dips,1.38x BW,Muscle-ups,Two-Arm EL,Tuck Flag,Knees Ab Wheel,RTO L-Sit,,Felge Fwd Tuck to Support,1.2x BW Pistol
6,Different progressions to the One Arm Handstand,R Strap HS,Free HeSPU,,.8x BW,L-Sit BA BB Press,Chair Press,Ele Str Std Str Press,45 deg V-sit,Half Lay / 1 Leg BL,Straddle FL,Adv Tuck FL,Str OA Rows,,R Wide L-Pull-ups,1.50x Bodyweight,L-Clap Pull-ups,,Adv Tuck PL,Tuck PL,Tuck PL PU,,RTO Archer PU,Straddle OA PU,,R Wide Dips,1.55x BW,Wide / No FG MU,R Two-Arm EL,Adv Tuck Flag,Ab Wheel Ramp,RTO Str-L,Kip to Support,Felge Fwd Pike / Felge Bwd Tuck,1.35x BW Pistol
7,,R HS,Free HSPU,R Wide HSPU,.9x BW,CR SB Press,Chair Illusion,Str / Pike Std Press,75 deg V-sit,Full BL,Half lay / 1 Leg FL,Adv Tuck RC,OA Rows,,R Archer Pull-ups,1.65x Bodyweight,Kip BTB Clap,,,,,,RTO 40 Deg PPPU,Rings Str OA PU,,RTO 45 Deg Dips,1.7x BW,Strict Bar MU,OA Straddle EL,Straddle Flag,Ab Wheel Ecc,Back Lever,Back Kip to Support,Felge Bwd Pike to Support,1.5x BW Pistol
8,,,,R Strap HSPU,1x BW,BA SB Press,R BA BB Press,L-sit / Str-L Str Press,100 deg V-sit,BL Pullout,Full FL,Straddle FL,,,OAC Eccentric,1.78x Bodyweight,L-Slap Abs,,Straddle PL,Adv Tuck PL,Adv Tuck PL PU,Tuck PL PU,RTO 60 Deg PPPU,Straight Body OA PU,Wall OA Dips,RTO 75 Deg Dips,1.85x BW, SFL MU ATPL / L-Sit MU,OA SB EL,Full Flag,Full Ab Wheel,Front Lever,,,1.65x BW Pistol
9,,,,R Free HSPU,1.08x BW,HS EL HS,R Dip to HS,L-sit / Str-L Pike Press,120 deg V-sit,GH Pullout,FL to Inverted,Str FL RC,,,OAC,1.9x Bodyweight,L-Slap Thighs,Cross Progressions,Half Lay / 1 Leg,,,,RTO Maltese PU,Rings SB OA PU,Side OA Dips,RTO 90 Deg Dips,2x BW,OA Straight MU,,,Ab Wheel + 20 lbs,R 90 Deg V-Sit,SA Kip to L-Sit,,1.8x BW Pistol
10,One Arm HS,,,,1.15x BW,PB Dip SB to HS,R BA SB Press,R SA L-sit Str Press,140 deg V-sit,BA Pull-up to BL,Hang Pull to Inv,Full FL,,,OAC+15 lbs,2x Bodyweight,Reg Slap Thighs,Iron Cross Hold,,Straddle PL,Straddle PL PU,Adv Tuck PL PU,Wall PPPU,,,RTO 90 + 30 Dips,2.13x BW,Felge Bwd SB to Support,,,One Arm Ab Wheel,Iron Cross / Str PL,SA Back Kip to Support,Felge Fwd Straight to Support,1.9x BW Pistol
11,,,,,1.2x BW,,R HS EL HS,R SA Str-L Str Press,155 deg V-sit,HS Lower to BL,Circle FL,FL RC,,,OAC+25 lbs,2.1x Bodyweight,Non-Kip BTB Clap,Cross to Back Lever,Full PL,,,,R Wall PPPU,,,RTO 90 + 50 Dips,2.25x BW,FL MU Str PL,,,,,Back Kip to Handstand,Felge Bwd Straight to Support,2x BW Pistol
12,,,,,,,R Dip SB to HS,R SA Pike Press,170 deg V-sit,,,,,,,,,,SA Str PL to HS,Half Lay / 1 Leg,Half Lay / 1 Leg PL PU,Straddle PL PU,Wall Maltese PU,,,RTO 90 + 65 Dips,,Felge Bwd SB to HS,,,,,,Felge Bwd SB to HS,
13,,,,,,,,,Manna,,,,,,,,,Iron Cross Pullouts,,,,,R Wall Maltese PU,,,RTO 90 + 75 Dips,,,,,,,SA kip to V-Sit/Cross/L-Cross,Felge Fwd SA to Cross,
14,,,,,,,,,,,,,,,,,,Hang Pull to Back Lever,SA PL to HS,Full PL,Full PL PU,Half Lay / 1 Leg PL PU,,,,RTO 90 + 82 Dips,,SB Rotation to HS,,,,Full Planche,Back Kip to Cross/L-Cross,Felge Fwd SA to Str PL,
15,,,,,,,,,,,,,,,,,,Butterfly Mount,SA SB to HS,,,,,,,RTO 90 + 86 Dips,,Butterfly Mount,,,,,Back Kip to Straddle PL,Felge Fwd SA SB to HS,
16,,,,,,,,,,,,,,,,,,Support to Hang to Cross,SA PL to HS,,,Full PL PU,,,,RTO 90 + 88 Dips,Maltese (L17),(L17) Elevator,,,,Inverted Cross,,,